"kode","kelurahan_kode","rw","rt","meliputi_jalan","meliputi_lorong","rt_latitude","rt_longitude"
"7371011002003001","7371011002","003","001","JL.KS.TUBUN & JL.HATI GEMBIRA & JL.HATI RIANG & JL.SEHATI",,"-5.162865","119.411185"
"7371011002003002","7371011002","003","002","JL.PATTIMURA & JL.KS.TUBUN",,"-5.163292","119.411014"
"7371011002003003","7371011002","003","003","JL.KS.TUBUN & JL.PATTIMURA & JL.HATI SENANG & JL.HATI MURNI",,"-5.163817","119.410959"
"7371011002003004","7371011002","003","004","JL.HATI SUCI & JL.CENDRAWASIH",,"-5.164108","119.412193"
"7371011002003005","7371011002","003","005","JL.HATI MULIA & JL.NURI & JL.HATI MURNI",,"-5.162698","119.409303"
"7371011002004001","7371011002","004","001","JL.NURI & JL.MATAHARI & JL.ANGGREK & JL.KENANGA",,"-5.162452","119.408305"
"7371011002004002","7371011002","004","002","JL.DAHLIA & JL.MAWAR & JL.ANGGREK & JL.KENANGA",,"-5.161796","-51.161796"
"7371011002004003","7371011002","004","003","JL.MAWAR & JL.MATAHARI & JL.CULANG & JL.TERATAI",,"-5.162544","119.407690"
"7371011002004004","7371011002","004","004","JL.MELATI & JL.MAWAR",,"-5.161827","119.408003"
"7371011003001001","7371011003","001","001","JL.MERPATI & JL.MERPATI II & JL.CENDRAWASIH & JL.H.BAU",,"-5.149235","119.413383"
"7371011003001002","7371011003","001","002","JL.MERPATI & JL.MERPATI II & JL.A.MAPPANYUKKI & JL.H.BAU",,"-5.149296","119.414001"
"7371121001007004","7371121001","007","004",,,".","."
"7371011003001003","7371011003","001","003","JL.MERPATI & JL.DR.RATULANGI & JL.A.MAPPANYUKKI & JL.H.BAU",,"-5.148923","119.414999"
"7371011003001004","7371011003","001","004","JL.MERPATI & JL.DR.RATULANGI & JL.A.MAPPANYUKKI",,"-5.150653","119.415034"
"7371011003001005","7371011003","001","005","JL.MERPATI & JL.CENDRAWASIH & JL.A.MAPPANYUKKI",,"-5.150343","119.413751"
"7371011003002001","7371011003","002","001",,,".","."
"7371011003002002","7371011003","002","002","JL.GARUDA BUNTU",,"-5.149942","119.411626"
"7371011003002003","7371011003","002","003","JL.GARUDA BUNTU",,"-5.150129","119.411513"
"7371011003002004","7371011003","002","004","JL.CENDRAWASIH & JL.GARUDA BUNTU","LORONG 31","-5.149651","119.412487"
"7371011003002005","7371011003","002","005","JL.LAMADDUKELLENG BUNTU","LORONG 31","-5.149323","119.411486"
"7371011003002006","7371011003","002","006","JL.GARUDA BUNTU","LORONG 31","-5.149623","119.411492"
"7371011003002007","7371011003","002","007","JL.GARUDA & JL.GARUDA BUNTU & JL.CENDRAWASIH",,"-5.150680","119.412820"
"7371011003002008","7371011003","002","008","JL.CENDRAWASIH & JL.H.BAU","LORONG 31","-5.149104","119.412083"
"7371011003003001","7371011003","003","001","JL.H.BAU & JL.LAMADDUKELLENG BUNTU","LORONG 31","-5.149034","119.410324"
"7371011003003002","7371011003","003","002","JL.GARUDA BUNTU & JL.LAMADDUKELLENG BUNTU","LORONG 31","-5.149773","119.411149"
"7371011003003003","7371011003","003","003","JL.GARUDA BUNTU & JL.LAMADDUKELLENG BUNTU",,"-5.149746","119.410843"
"7371011003003004","7371011003","003","004",,,".","."
"7371011003003005","7371011003","003","005","JL.RAJAWALI & JL.LAMADDUKELLENG BUNTU",,"-5.149305","119.410506"
"7371011003003006","7371011003","003","006",,,".","."
"7371011003003007","7371011003","003","007",,,".","."
"7371011003003008","7371011003","003","008","JL.RAJAWALI",,"-5.149500","119.409385"
"7371011003003009","7371011003","003","009",,,".","."
"7371011003003010","7371011003","003","010","JL.RAJAWALI & JL.GARUDA",,"-5.150925","119.410764"
"7371011003003011","7371011003","003","011","JL.RAJAWALI & JL.GARUDA BUNTU",,"-5.150032","119.411167"
"7371011003004001","7371011003","004","001","JL.CENDRAWASIH & JL.KASUARI",,"-5.151618","119.413620"
"7371011003004002","7371011003","004","002","JL.CENDRAWASIH & JL.KASUARI",,"-5.151820","119.414009"
"7371011003004003","7371011003","004","003","JL.A.MAPPANYUKKI & JL.KASUARI",,"-5.151642","119.414431"
"7371011003004004","7371011003","004","004","JL.A.MAPPANYUKKI",,"-5.150941","119.414222"
"7371011003004005","7371011003","004","005","JL.KUTILANG & JL.KASUARI",,"-5.151691","119.415387"
"7371011003004006","7371011003","004","006","JL.KUTILANG & JL.RATULANGI & JL.KASUARI",,"-5.152986","119.415464"
"7371011003004007","7371011003","004","007","JL.KUTILANG & JL.A.MAPPANYUKKI & JL.KASUARI",,"-5.153132","119.414641"
"7371011003004008","7371011003","004","008","JL.CENDRAWASIH & JL.KASUARI",,"-5.153042","119.413628"
"7371011004001001","7371011004","001","001","JL.RAJAWALI I","LORONG 11 A & LORONG 11","-5.156714","119.409696"
"7371011004001002","7371011004","001","002",,"LORONG 11 A & LORONG 11","-5.156927","119.409567"
"7371011004001003","7371011004","001","003","JL.RAJAWALI","LORONG 11 A","-5.156426","119.408875"
"7371011004001004","7371011004","001","004",,"LORONG 10 D & LORONG 10","-5.157043","119.409111"
"7371011004001005","7371011004","001","005","JL.RAJAWALI","LORONG 10 & LORONG 10 D","-5.156784","119.408070"
"7371011004001006","7371011004","001","006","JL.RAJAWALI I","LORONG 13 B","-5.156185","119.407964"
"7371011004001007","7371011004","001","007","JL.RAJAWALI I","LORONG 10 D","-5.156382","119.406089"
"7371011004001008","7371011004","001","008","JL.RAJAWALI & JL.RAJAWALI I",,"-5.155763","119.406800"
"7371011004002001","7371011004","002","001","JL.RAJAWALI I & JL.RAJAWALI II",,"-5.157599","119.410261"
"7371011004002002","7371011004","002","002","JL.RAJAWALI I & JL.RAJAWALI II",,"-5.156922","119.410209"
"7371111001006004","7371111001","006","004","JL FETRAN",,"-5.126123","119.532157"
"7371011004002003","7371011004","002","003","JL.RAJAWALI II",,"-5.157443","119.410596"
"7371011004003001","7371011004","003","001","JL.CENDRAWASIH V & JL.BELIBIS",,"-5.158441","119.413239"
"7371011004003002","7371011004","003","002","JL.CENDRAWASIH V & JL.BELIBIS",,"-5.158658","119.411248"
"7371011004003003","7371011004","003","003","JL.RAJAWALI II",,"-5.158074","119.410783"
"7371011004003004","7371011004","003","004","JL.CENDRAWASIH V","LORONG 1","-5.158151","119.411593"
"7371011004004001","7371011004","004","001","JL.CENDRAWASIH IV",,"-5.157470","119.411023"
"7371011004004002","7371011004","004","002","JL.CENDRAWASIH IV","LORONG 1","-5.157680","119.411764"
"7371011004004003","7371011004","004","003","JL.CENDRAWASIH IV & JL.CENDRAWASIH V","LORONG 1","-5.157790","119.412156"
"7371011004004004","7371011004","004","004","JL.CENDRAWASIH IV",,"-5.157905","119.413237"
"7371011004004005","7371011004","004","005","JL.CENDRAWASIH V",,"-5.158276","119.413421"
"7371011004005001","7371011004","005","001","JL.RAJAWALI I","LORONG 10 D & LORONG 9","-5.157744","119.409754"
"7371011004005002","7371011004","005","002","JL.RAJAWALI I","LORONG 10 D & LORONG 9","-5.157848","119.409070"
"7371011004005003","7371011004","005","003","JL.RAJAWALI I","LORONG 10 D & LORONG 9","-5.157667","119.408389"
"7371011004005004","7371011004","005","004","JL.RAJAWALI I","LORONG 10 D & LORONG 9 & LORONG 10 C","-5.157431","119.407973"
"7371011004005005","7371011004","005","005","JL.RAJAWALI I","LORONG 10 D","-5.156851","119.407382"
"7371011004005006","7371011004","005","006","JL.RAJAWALI I & JL.NURI","LORONG 10 D & LORONG 300","-5.157242","119.407185"
"7371011004005007","7371011004","005","007","JL.RAJAWALI I & JL.AMPERA RAYA","LORONG 10 D & LORONG 300","-5.156431","119.405986"
"7371011004005008","7371011004","005","008","JL.RAJAWALI I & JL.NURI","LORONG 10 D & LORONG 300","-5.156768","119.405764"
"7371011005001001","7371011005","001","001","JL.CENDRAWASIH & JL.CENDRAWASIH II",,"-5.155116","119.413371"
"7371011005001002","7371011005","001","002","JL.CENDRAWASIH II & JL.ANGSA I & JL.CENDRAWASIH III",,"-5.155848","119.412734"
"7371011005001003","7371011005","001","003","JL.CENDRAWASIH & JL.CENDRAWASIH II & JL.CENDRAWASIH III",,"-5.155673","119.413306"
"7371011005001004","7371011005","001","004","JL.CENDRAWASIH",,"-5.154529","119.412748"
"7371011005002001","7371011005","002","001","JL.ANGSA & JL.CENDRAWASIH II & JL.CENDRAWASIH III",,"-5.155415","119.412056"
"7371011005002002","7371011005","002","002","JL.ENGGANG I & JL.ENGGANG II & JL.CENDRAWASIH III & JL.BALAM","LORONG 2","-5.155922","119.411479"
"7371011005002003","7371011005","002","003",,,".","."
"7371011005002004","7371011005","002","004","JL.RAJAWALI & JL.RAJAWALI I",,"-5.154735","119.411423"
"7371011005003001","7371011005","003","001","JL.CENDRAWASIH III & JL.BALAM II & JL.ANGSA & JL.GELATIK & JL.ENGGANG SELATAN","GG.UNGGAS","-5.156640","119.411917"
"7371011005003002","7371011005","003","002","JL.BALAM I & JL.GELATIK & JL.ENGGANG SELATAN","GG.UNGGAS","-5.157108","119.411751"
"7371011005004001","7371011005","004","001","JL.ANGSA & JL.CENRAWASIH III & JL.CENDRAWASIH IV & JL.TEKUKUR & JL.TEKUKUR I",,"-5.156971","119.412814"
"7371011005004002","7371011005","004","002","JL.CENDRAWASIH & JL.CENRAWASIH III & JL.CENDRAWASIH IV & JL.TEKUKUR",,"-5.157094","119.413393"
"7371011005005001","7371011005","005","001","JL.RAJAWALI & JL.RAJAWALI I",,"-5.155740","119.410378"
"7371011005005002","7371011005","005","002","JL.RAJAWALI & JL.RAJAWALI III","LORONG 13 A & LORONG 13 B & LORONG 13","-5.155750","119.409527"
"7371011005005003","7371011005","005","003","JL.RAJAWALI","LORONG 13 A & LORONG 13","-5.155332","119.409499"
"7371011005005004","7371011005","005","004","JL.RAJAWALI",,"-5.154898","119.409902"
"7371011005005005","7371011005","005","005","JL.RAJAWALI","LORONG 13 A","-5.155328","119.408667"
"7371011005005006","7371011005","005","006","JL.RAJAWALI I","LORONG 13 B & LORONG 13 A","-5.155755","119.408469"
"7371111003008002","7371111003","008","002","JL DG RAMANG",,"-5.096615","119.515069"
"7371011005006001","7371011005","006","001","JL.RAJAWALI & JL.GARUDA","LORONG 9","-5.152339","119.411305"
"7371011005006002","7371011005","006","002","JL.RAJAWALI & JL.GARUDA","GG. 2","-5.153597","119.411978"
"7371011005006003","7371011005","006","003","JL.GARUDA","GG. 2","-5.151816","119.412379"
"7371011005006004","7371011005","006","004","JL.RAJAWALI & JL.CENRAWASIH",,"-5.154585","119.412141"
"7371011005006005","7371011005","006","005","JL.GARUDA & JL.CENRAWASIH",,"-5.152115","119.412955"
"7371011005007001","7371011005","007","001","JL.RAJAWALI I","LORONG 9 & LORONG 3","-5.153265","119.410108"
"7371011005007002","7371011005","007","002","JL.RAJAWALI III & JL.AMPERA RAYA","LORONG 3","-5.152124","119.408757"
"7371011005007003","7371011005","007","003","JL.RAJAWALI III & JL.AMPERA RAYA","LORONG 1","-5.151809","119.409966"
"7371011005007004","7371011005","007","004","JL.AMPERA RAYA","LORONG 4 & LORONG 5","-5.153443","119.407878"
"7371011005008001","7371011005","008","001","JL.RAJAWALI I","LORONG 13 A","-5.155009","119.409012"
"7371011005008002","7371011005","008","002","JL.RAJAWALI & JL.AMPERA RAYA & JL.AGUNG",,"-5.154411","119.408144"
"7371011005008003","7371011005","008","003","JL.RAJAWALI & JL.AMPERA RAYA","LORONG 6","-5.154094","119.407718"
"7371011005008004","7371011005","008","004","JL.AGUNG & JL.AMPERA RAYA & JL.RAJAWALI I","LORONG 13 & LORONG 300","-5.154390","119.406775"
"7371011005008005","7371011005","008","005","JL.RAJAWALI I & JL.AMPERA RAYA","LORONG 13 B","-5.154775","119.407085"
"7371011005008006","7371011005","008","006","JL.RAJAWALI 1 & JL.AMPERA RAYA","LORONG 13 B","-5.155302","119.407192"
"7371011006001001","7371011006","001","001","JL.NURI & JL.NURI LAMA","LORONG 302 & LORONG 301","-5.159363","119.409599"
"7371011006001002","7371011006","001","002","JL.NURI & JL.NUSA INDAH & JL.NURI LAMA","LORONG 302","-5.159607","119.409155"
"7371011006001003","7371011006","001","003","JL.NURI & JL.NURI LAMA & JL.NUSA INDAH 1","LORONG 302 & LORONG 303","-5.159146","119.408324"
"7371011006001004","7371011006","001","004","JL.NURI & JL.NUSA INDAH 1","LORONG 302 & LORONG 303","-5.158802","119.407489"
"7371011006001005","7371011006","001","005","JL.NURI LAMA","LORONG 302 & LORONG 301","-5.158520","119.407749"
"7371011006002001","7371011006","002","001","JL.GAGAK","LORONG 7","-5.160102","119.412310"
"7371011006002002","7371011006","002","002","JL.CENDRAWASIH","LORONG 7 & LORONG 7 A","-5.160065","119.412909"
"7371011006002003","7371011006","002","003","JL.CENDRAWASIH","LORONG 7","-5.160564","119.413024"
"7371011006002004","7371011006","002","004","JL.CENDRAWASIH & JL.KAKATUA & JL.PANJONGA DG. NGALLE",,"-5.160959","119.412994"
"7371011006002005","7371011006","002","005","JL.KAKATUA & JL.PANJONGA DG. NGALLE",,"-5.160705","119.412044"
"7371011006003001","7371011006","003","001","JL.NURI & JL.MERAK & JL.GAGAK",,"-5.159112","119.410305"
"7371011006003002","7371011006","003","002","JL.GAGAK",,"-5.158695","119.410499"
"7371011006003003","7371011006","003","003","JL.NURI","LORONG 300 & LORONG 299","-5.158425","119.409541"
"7371011006003004","7371011006","003","004","JL.NURI","LORONG 300","-5.158376","119.408944"
"7371011006004001","7371011006","004","001","JL.BELIBIS & JL.CENDRAWASIH","LORONG 7 B","-5.158973","119.413332"
"7371011006004002","7371011006","004","002","JL.CENDRAWASIH","LORONG 7 A & LORONG 7 B","-5.159626","119.413208"
"7371011006004003","7371011006","004","003",,"LORONG 7 & LORONG 7 A","-5.159538","119.412777"
"7371011006004004","7371011006","004","004","JL.BELIBIS","LORONG 7 & LORONG 7 B","-5.159091","119.412835"
"7371011006004005","7371011006","004","005","JL.BELIBIS","LORONG 7","-5.159243","119.412443"
"7371011006004006","7371011006","004","006","JL.GAGAK","LORONG 7 & LORONG SEMINARI","-5.159381","119.411563"
"7371011006005001","7371011006","005","001","JL.NURI",,"-5.160275","119.409822"
"7371011006005002","7371011006","005","002",,"LORONG 4","-5.160545","119.410392"
"7371011006005003","7371011006","005","003","JL.NURI & JL.MERAK",,"-5.159958","119.410128"
"7371011006005004","7371011006","005","004","JL.GAGAK & JL.MERAK","LORONG 4","-5.160077","119.410860"
"7371011006006001","7371011006","006","001","JL.NURI","LORONG 300 & LORONG 301","-5.158590","119.408474"
"7371011008004001","7371011008","004","001","JL.FLAMBOYAN & JL.FLAMBOYAN BARAT & JL.SEROJA",,"-5.159996","119.406638"
"7371011006006002","7371011006","006","002","JL.NURI","LORONG 300","-5.157931","119.406837"
"7371011006006004","7371011006","006","004","JL.NURI","LORONG 300","-5.157338","119.406076"
"7371011006006005","7371011006","006","005","JL.NURI","LORONG 300","-5.156617","119.405256"
"7371011006006006","7371011006","006","006","JL.NURI","LORONG 300","-5.156678","119.405439"
"7371011006006007","7371011006","006","007","JL.NURI","LORONG 300","-5.155819","119.404544"
"7371011006007001","7371011006","007","001","JL.NURI","LORONG 300","-5.158208","119.408542"
"7371011006007002","7371011006","007","002","JL.NURI","LORONG 300","-5.158056","119.408138"
"7371011006007003","7371011006","007","003","JL.NURI","LORONG 300","-5.157848","119.407783"
"7371011006007004","7371011006","007","004","JL.NURI","LORONG 300","-5.157467","119.407132"
"7371011006007005","7371011006","007","005","JL.NURI","LORONG 300","-5.157074","119.406191"
"7371011007001001","7371011007","001","001","JL.A.MAPPANYUKKI","LORONG 14","-5.155053","119.414554"
"7371011007001002","7371011007","001","002","JL.CENDRAWASIH",,"-5.154667","119.414042"
"7371011007001003","7371011007","001","003","JL.A.MAPPANYUKKI",,"-5.156163","119.414497"
"7371011007001004","7371011007","001","004","JL.CENDRAWASIH",,"-5.156481","119.413909"
"7371011007002001","7371011007","002","001","JL.CENDRAWASIH",,"-5.158408","119.415240"
"7371011007002002","7371011007","002","002","JL.CENDRAWASIH & JL.BANGAU & JL.PAJONGA DG. NGALLE & JL.DR.RATULANGI",,"-5.161055","119.415259"
"7371011007003001","7371011007","003","001","JL.DR.RATULANGI","LORONG 5 A","-5.155301","119.415910"
"7371011007003002","7371011007","003","002","JL.A.MAPPANYUKKI","LORONG 5 A","-5.155221","119.415341"
"7371011007003003","7371011007","003","003","JL.DR.RATULANGI & JL.A.MAPPANYUKKI",,"-5.154224","119.415834"
"7371011007004001","7371011007","004","001","JL.BAJI DAKKA I & JL.BAJI DAKKA",,"-5.177893","119.411018"
"7371011007004002","7371011007","004","002","JL.BAJI DAKKA II & JL.BAJI DAKKA",,"-5.178593","119.411127"
"7371011007004003","7371011007","004","003","JL.BAJI DAKKA III & JL.BAJI DAKKA",,"-5.178630","119.411348"
"7371011007005001","7371011007","005","001","JL.DR.RATULANGI","LORONG 5 A","-5.156427","119.416254"
"7371011007005002","7371011007","005","002",,,".","."
"7371011007005003","7371011007","005","003","JL.DR.RATULANGI & JL.A.MAPPANYUKKI",,"-5.157129","119.415415"
"7371011008001001","7371011008","001","001","JL.KAKATUA & JL.CENDRAWASIH",,"-5.161551","119.412506"
"7371011008001002","7371011008","001","002","JL.CENDRAWASIH & JL.HATI MULIA & JL.KS.TUBUN",,"-5.162427","119.412281"
"7371011008001003","7371011008","001","003","JL.KS.TUBUN & JL.GAGAK","LORONG 4","-5.161091","119.410554"
"7371011008001004","7371011008","001","004","JL.KS.TUBUN & JL.HATI MULIA",,"-5.161888","119.410415"
"7371011008001005","7371011008","001","005","JL.NURI & JL.HATI MULIA",,"-5.161209","119.409588"
"7371011008002001","7371011008","002","001","JL.NURI & JL.MATAHARI & JL.HATI MULIA",,"-5.160910","119.409100"
"7371011008002002","7371011008","002","002","JL.MATAHARUI & JL.NUSA INDAH & JL.KAMBOJA & JL.DAHLIA",,"-5.160248","119.408526"
"7371011008002003","7371011008","002","003","JL.MATAHARI & JL.SERUNI & JL.DAHLIA & JL.KENANGA",,"-5.160894","119.408145"
"7371111003008003","7371111003","008","003","JL DG RAMANG",,"-5.094912","119.515960"
"7371011008003001","7371011008","003","001","JL.DAHLIA & JL.FLAMBOYAN & JL.SEROJA",,"-5.160351","119.407596"
"7371011008003002","7371011008","003","002","JL.DAHLIA & JL.NUSA INDAH 1 & JL.SEROJA",,"-5.159908","119.408012"
"7371011008003003","7371011008","003","003","JL.SEROJA",,"-5.159651","119.407540"
"7371011008003004","7371011008","003","004","JL.NUSA INDAH 1","STAPAK 1 LORONG 306","-5.159474","119.407481"
"7371011008004002","7371011008","004","002","JL.SEROJA & JL.NUSA INDAH",,"-5.159374","119.406944"
"7371011008004003","7371011008","004","003","JL.NUSA INDAH 1",,"-5.158928","119.406947"
"7371011008004004","7371011008","004","004","JL.FLAMBOYAN BARAT & JL.METRO TJ.BUNGA",,"-5.158021","119.405404"
"7371011008004005","7371011008","004","005","JL.FLAMBOYAN BARAT & JL.FLAMBOYAN",,"-5.159606","119.405559"
"7371011009001001","7371011009","001","001","JL BAJI MINASA & JL. KS. TUBUN",,"-5.165116","119.410639"
"7371011009001002","7371011009","001","002","JL.BAJI MINASA 2 DALAM & JL.CENDRAWASIH & JL.BAJI ATI","LORONG 02","-5.165793","119.411176"
"7371011009001003","7371011009","001","003","JL.HATI MURNI & JL.SKARDA","LORONG 02","-5.164946","119.410528"
"7371011009001004","7371011009","001","004","JL.CENDRAWASIH & JL.HATI MURNI","LORONG 02","-5.164807","119.412098"
"7371011009002001","7371011009","002","001","JL.BAJI MINASA & JL.NURI & JL.NURI BARU",,"-5.164250","119.408207"
"7371011009002002","7371011009","002","002","JL.HATI RELA & JL.DAENG NGADDE",,"-5.164455","119.409332"
"7371011009002003","7371011009","002","003","JL.HATI MURNI","LORONG 01","-5.164252","119.409964"
"7371011009002004","7371011009","002","004","JL.HATI MURNI","LORONG 02","-5.164756","119.410068"
"7371011009002005","7371011009","002","005","JL.BAJI MINASA","LORONG 311","-5.165408","119.410012"
"7371011009003001","7371011009","003","001","JL.BAJI MINASA 1 & JL.BAJI MINASA 2",,"-5.165824","119.408624"
"7371011009003002","7371011009","003","002","JL.BAJI MINASA 2",,"-5.167087","119.407954"
"7371011009003003","7371011009","003","003","JL.BAJI MINASA 2 & JL.NURI BARU",,"-5.165852","119.407687"
"7371011009004001","7371011009","004","001","JL.NURI BARU",,"-5.168488","119.406772"
"7371011009004002","7371011009","004","002","JL.BAJI MINASA 2","LORONG TORIOLO","-5.167756","119.407511"
"7371011009004003","7371011009","004","003","JL.BAJI MINASA 2 & JL.BAJI MINASA DALAM",,"-5.168093","119.408267"
"7371011009004004","7371011009","004","004","JL.BAJI MINASA 2 & JL.BAJI MINASA DALAM",,"-5.169437","119.407711"
"7371011009005001","7371011009","005","001","JL.BAJI MINASA DALAM & JL.TJ.RAYA VI",,"-5.170019","119.407105"
"7371011009005002","7371011009","005","002","JL.BAJI MINASA 2 & JL.BAJI MINASA 2 DALAM",,"-5.170179","119.407384"
"7371011009005003","7371011009","005","003","JL.TANJUNG RAYA V","LORONG 2","-5.170809","119.407400"
"7371021001001001","7371021001","001","001","JL. CENDRAWASIH","LORONG 16","-5.179639","119.409377"
"7371021001001002","7371021001","001","002","JL. CENDRAWASIH",,"-5.176742","119.409063"
"7371021001001003","7371021001","001","003","JL. CENDRAWASIH NO.430","LORONG 12","-5.175904","119.409056"
"7371021001001004","7371021001","001","004","JL. TANJUNG BIRA",,"-5.174896","119.407935"
"7371021001001005","7371021001","001","005","JL. CENDRAWASIH",,"-5.178355","119.409414"
"7371021001002001","7371021001","002","001","JL. TANJUNG BUNGA & JL. TANJUNG BIRA",,"-5.174672","119.408145"
"7371021001002002","7371021001","002","002","JL. TANJUNG BUNGA",,"-5.175133","119.408886"
"7371021001002003","7371021001","002","003","JL. CENDRAWASIH N0.474A",,"-5.174839","119.409397"
"7371021001002004","7371021001","002","004","JL. TANJUNG ALANG",,"-5.173878","119.408546"
"7371021001003001","7371021001","003","001","JL. BAJI PASSARE & JL. TANJUNG ALANG",,"-5.173342","119.409183"
"7371021001003002","7371021001","003","002","JL. TANJUNG BUNGA NO.51 & 59",,"-5.173183","119.407573"
"7371021001003003","7371021001","003","003",,,".","."
"7371021001003004","7371021001","003","004","JL. TANJUNG ALANG 1 NO.12 & JL. TANJUNG BUNGA",,"-5.172392","119.407369"
"7371021001003005","7371021001","003","005","JL. TANJUNG ALANG NO. 1",,"-5.172964","119.407974"
"7371111009008003","7371111009","008","003",,"BLOK AC","-5.107630","119.516112"
"7371021001004001","7371021001","004","001","JL. BAJI PASSARE",,"-5.172521","119.409133"
"7371021001004002","7371021001","004","002","JL. BAJI PANGASSENG",,"-5.172347","119.409800"
"7371021001004003","7371021001","004","003","JL. BAJI PASSARE N0.5",,"-5.172304","119.408706"
"7371021001004004","7371021001","004","004","JL. TANJUNG RAYA V",,"-5.171070","119.407753"
"7371021001005001","7371021001","005","001","JL. TANJUNG RAYA & JL. TANJUNG RAYA IV & JL. TANJUNG RAYA 3",,"-5.171301","119.407424"
"7371021001005002","7371021001","005","002","JL. TANJUNG RAYA & JL. TJ. RAYA 2 & JL. TJ. RAYA 3",,"-5.171657","119.047410"
"7371021001005003","7371021001","005","003","JL. TJ. RAYA 2 & JL. TJ. PALETTE",,"-5.171800","119.406845"
"7371021001005004","7371021001","005","004","JL. TJ. RAYA 1 & JL. TJ. PALETTE",,"-5.172280","119.407200"
"7371021001006001","7371021001","006","001","JL. TJ.BIRA & JL. TANJUNG BUNGA",,"-5.173829","119.407568"
"7371021001006002","7371021001","006","002","JL. TANJUNG ALANG & JL. TJ.ALANG II & JL.TJ.DANGKAI & JL. TJ. BIRA",,"-5.173828","119.407218"
"7371021001006003","7371021001","006","003","JL. TJ.BATIKALA & JL. TJ.LEREH",,"-5.173527","119.406400"
"7371021001006004","7371021001","006","004","JL. TJ. PALETTE & JL. TANJUNG BUNGA",,"-5.172834","119.406668"
"7371021001007001","7371021001","007","001","JL. TANJUNG ALANG NO.121 & JL. TANJUNG DAPURA",,"-5.173286","119.465218"
"7371021001007002","7371021001","007","002",,,".","."
"7371021001007003","7371021001","007","003","JL. TJ. PALETTE & JL. TANJUNG DAPIURA",,"-5.173017","119.405379"
"7371021001007004","7371021001","007","004","JL. TJ.PITANG & JL.TG PATTIRO & JL.TJ.PALETTE",,"-5.172593","119.405582"
"7371021001007005","7371021001","007","005","JL.TJ. BIRA & JL.TG.RANGAS",,"-5.172282","119.406080"
"7371021001008001","7371021001","008","001","JL.TANJUNG ALANG NO.20 & JL.TANJUNG ALANG",,"-5.171410","119.403552"
"7371021001008002","7371021001","008","002","JL.TANJUNG ALANG NO.90B & JL.TANJUNG ALANG",,"-5.172943","119.404373"
"7371021001008OO3","7371021001","008","OO3","JL. TANJUNG ALANG",,"-5.171877","119.404198"
"7371021001008004","7371021001","008","004",,,".","."
"7371021001008005","7371021001","008","005","JL. TANJUNG DAPURA & JL. TJ. PALETTE",,"-5.172029","119.404589"
"7371021001008006","7371021001","008","006","JL.TJ.PITANG & JL.TJ.PATTIRO",,"-5.171932","119.405204"
"7371021001009001","7371021001","009","001","JL. TANJUNG ALANG",,"-5.170404","119.404361"
"7371021001009002","7371021001","009","002","JL. TANJUNG DAPURA & JL. TANJUNG ALANG",,"-5.170511","119.404858"
"7371021001009003","7371021001","009","003","JL. TANJUNG DAPURA & JL. TJ.PALETTE",,"-5.170664","119.405214"
